"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Heliopetes macaira","2008-09-17 12:01:00 -0500","","Kleberg County, TX, USA",27.5033991762,-97.9252624512,"","Turk's-cap White-Skipper","https://www.inaturalist.org/observations/8204911","https://static.inaturalist.org/photos/10869054/medium.jpeg?1506877385","jimsinclair",8204911,"Turk's-cap White-Skipper","Insecta",148516,"false",2,0,"2008/09/17 12:01 PM CDT","2008-09-17","2008-09-17 10:01:00 -0700","Central Time (US & Canada)",8296,NA,NA,"false",NA,"",NA,645099,"2017-10-01 10:09:01 -0700","2017-10-01 10:33:48 -0700","research","CC-BY-NC",NA,"false"
"Heliopetes macaira macaira","2017-09-06 11:00:00 -0600","","Mazatlán, Sinaloa, México",23.4078060809,-106.4492797852,"","","https://www.inaturalist.org/observations/7836208","https://static.inaturalist.org/photos/10315980/medium.jpeg?1504899818","pioleon",7836208,"Heliopetes macaira macaira","Insecta",430079,"false",1,0,"2017/09/06 11:00 AM MDT","2017-09-06","2017-09-06 10:00:00 -0700","Mountain Time (US & Canada)",1953,NA,NA,"false",NA,"",NA,167064,"2017-09-08 12:46:14 -0700","2017-09-10 17:42:43 -0700","research","CC-BY-NC",NA,"false"
"Heliopetes macaira","2016-09-30 12:28:00 -1000","                               ","Mazatlán, MX-SI, MX",23.299,-106.443,"","Turk's-cap White-Skipper","http://conabio.inaturalist.org/observations/4241780","https://static.inaturalist.org/photos/5069983/medium.jpeg?1475287336","francisco3",4241780,"Turk's-cap White-Skipper","Insecta",148516,"false",2,0,"2016/09/30 12:28 PM HST","2016-09-30","2016-09-30 15:28:00 -0700","Hawaii",NA,NA,NA,"false",NA,"",NA,21626,"2016-09-30 19:03:05 -0700","2017-04-05 21:49:39 -0700","research","CC-BY",NA,"false"
"Heliopetes macaira","2016-09-16 10:46:00 -0500","","Port Aransas, TX, USA",27.8330931214,-97.088609039,"","Turk's-cap White-Skipper","http://www.inaturalist.org/observations/4123854","https://static.inaturalist.org/photos/4905373/medium.jpeg?1474050962","mako252",4123854,"Turk's-cap White-Skipper","Insecta",148516,"false",2,0,"2016/09/16 10:46 AM CDT","2016-09-16","2016-09-16 08:46:00 -0700","Central Time (US & Canada)",2,NA,NA,"false",NA,"",NA,18812,"2016-09-16 11:43:08 -0700","2017-09-26 07:40:03 -0700","research","CC-BY-NC",NA,"false"
"Heliopetes macaira macaira","2015-09-18 10:34:21 -0500","","Paco's Nature Reserve, Mazatlan; Sinaloa",23.299365,-106.440195,"","","http://conabio.inaturalist.org/observations/2114047","https://static.inaturalist.org/photos/2526250/medium.JPG?1444854726","juancruzado",2114047,"Heliopetes macaira macaira","Insecta",430079,"false",1,0,"2015-09-18 10:34:21","2015-09-18","2015-09-18 08:34:21 -0700","Monterrey",74,NA,NA,"false",NA,"manual",NA,5772,"2015-10-14 13:31:12 -0700","2015-10-15 08:04:53 -0700","research","CC-BY-NC-SA",NA,"false"
"Heliopetes macaira macaira","2015-09-18 00:47:58 -1000","KODAK Digital Still Camera"," Rancho los venados, Mazatlan, Sinaloa.",23.302084,-106.43776,"","","http://conabio.inaturalist.org/observations/2099659","https://static.inaturalist.org/photos/2514295/medium.JPG?1444627675","hugoalvarezg",2099659,"Heliopetes macaira macaira","Insecta",430079,"false",1,0,"2015-09-18 00:47:58","2015-09-18","2015-09-18 03:47:58 -0700","Hawaii",30,NA,NA,"false",NA,"",NA,16952,"2015-10-11 22:27:02 -0700","2015-10-12 11:02:38 -0700","research","",NA,"false"
"Heliopetes macaira macaira","2015-09-17 21:28:55 -1000","KODAK Digital Still Camera"," Rancho los venados, Mazatlan, Sinaloa.",23.302081,-106.438005,"","","http://conabio.inaturalist.org/observations/2099608","https://static.inaturalist.org/photos/2514240/medium.JPG?1444627473","hugoalvarezg",2099608,"Heliopetes macaira macaira","Insecta",430079,"false",1,0,"2015-09-17 21:28:55","2015-09-17","2015-09-18 00:28:55 -0700","Hawaii",121,NA,NA,"false",NA,"",NA,16952,"2015-10-11 22:24:31 -0700","2015-11-11 13:03:23 -0700","research","",NA,"false"
"Heliopetes macaira macaira","2015-09-25 00:00:00 -1000","""El Cortejo""","La Antigua, Veracruz",19.329401,-96.320783,"","","http://conabio.inaturalist.org/observations/2000254","https://static.inaturalist.org/photos/2433520/medium.jpg?1443242253","franko",2000254,"Heliopetes macaira macaira","Insecta",430079,"true",3,0,"2015-09-25","2015-09-25","","Hawaii",2047,NA,NA,"false",NA,"",NA,79481,"2015-09-25 21:37:29 -0700","2016-05-20 20:13:38 -0700","research","",NA,"false"
