"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Callophrys gryneus","2017-09-30 15:21:00 -0500","","Cedar Ridge Preserve, Cedar Hill, TX",32.637871,-96.957994,"","Juniper Hairstreak","https://www.inaturalist.org/observations/8199285","https://static.inaturalist.org/photos/10860733/medium.jpeg?1506836936","annikaml",8199285,"Juniper Hairstreak","Insecta",84239,"false",1,0,"2017-09-30 3:21pm","2017-09-30","2017-09-30 13:21:00 -0700","Central Time (US & Canada)",23,"","","false","","",NA,24973,"2017-09-30 22:48:57 -0700","2017-09-30 23:37:41 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-26 12:42:00 -0500","one of the duller subspecies","Crockett, Texas, United States",30.6736133333,-101.677275,"","Juniper Hairstreak","https://www.inaturalist.org/observations/8174139","https://static.inaturalist.org/photos/10825426/medium.jpg?1506719821","greglasley",8174139,"Juniper Hairstreak","Insecta",84239,"false",1,0,"2017/09/26 12:42 PM CDT","2017-09-26","2017-09-26 10:42:00 -0700","Central Time (US & Canada)",NA,"","","false","","",NA,9706,"2017-09-29 14:22:57 -0700","2017-09-30 18:27:59 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-28 12:42:00 -0500","","Austin, TX, USA",30.1991437569,-97.8776800632,"Circle C Metro Park","Juniper Hairstreak","https://www.inaturalist.org/observations/8156131","https://static.inaturalist.org/photos/10799095/medium.jpeg?1506623931","centratex",8156131,"Juniper Hairstreak","Insecta",84239,"false",2,0,"2017/09/28 12:42 PM CDT","2017-09-28","2017-09-28 10:42:00 -0700","Central Time (US & Canada)",35,"","","false","","",NA,15215,"2017-09-28 11:39:57 -0700","2017-09-28 18:12:41 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-25 17:08:00 -0500","","Austin Nature & Science Center",30.270653,-97.776625,"","Juniper Hairstreak","https://www.inaturalist.org/observations/8102059","https://static.inaturalist.org/photos/10747133/medium.jpeg?1506426750","davidelchoma",8102059,"Juniper Hairstreak","Insecta",84239,"false",1,0,"2017-09-25 17:08","2017-09-25","2017-09-25 15:08:00 -0700","Central Time (US & Canada)",3,"","","false","","",NA,36961,"2017-09-26 04:52:33 -0700","2017-10-03 18:35:53 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-23 15:08:00 -0500","","Coryell County, TX, USA",31.6062583333,-97.6484133333,"Juniper Hairstreak","Juniper Hairstreak","https://www.inaturalist.org/observations/8084122","https://static.inaturalist.org/photos/10718952/medium.jpeg?1506311066","lovebirder",8084122,"Juniper Hairstreak","Insecta",84239,"false",2,0,"2017/09/23 3:08 PM CDT","2017-09-23","2017-09-23 13:08:00 -0700","Central Time (US & Canada)",NA,"","","false","","",NA,111241,"2017-09-24 21:23:25 -0700","2017-09-25 06:44:46 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-13 15:58:53 -0400","","Stockton University, Galloway, NJ, US",39.494755,-74.5290833333,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7998559","https://static.inaturalist.org/photos/10581890/medium.jpg?1505847397","nearctic",7998559,"Juniper Hairstreak","Insecta",84239,"false",3,0,"Wed Sep 13 2017 15:58:53 GMT-0400 (EDT)","2017-09-13","2017-09-13 12:58:53 -0700","Eastern Time (US & Canada)",NA,"","","false","","",NA,561359,"2017-09-19 11:56:29 -0700","2017-09-20 23:18:13 -0700","research","",3,"false"
"Callophrys gryneus siva","2017-09-16 15:25:00 -0500","","Jeff Davis County, TX, USA",30.5412795325,-103.835602551,"","Siva Juniper Hairstreak","https://www.inaturalist.org/observations/7979277","https://static.inaturalist.org/photos/10549422/medium.jpeg?1505746661","mako252",7979277,"Siva Juniper Hairstreak","Insecta",234705,"false",1,0,"2017/09/16 3:25 PM CDT","2017-09-16","2017-09-16 13:25:00 -0700","Central Time (US & Canada)",2,"","","false","","",NA,18812,"2017-09-18 08:01:54 -0700","2017-09-18 10:58:34 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-16 15:23:00 -0500","","Jeff Davis County, TX, USA",30.5412622068,-103.8355851173,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7979276","https://static.inaturalist.org/photos/10549421/medium.jpeg?1505746656","mako252",7979276,"Juniper Hairstreak","Insecta",84239,"false",1,0,"2017/09/16 3:23 PM CDT","2017-09-16","2017-09-16 13:23:00 -0700","Central Time (US & Canada)",2,"","","false","","",NA,18812,"2017-09-18 08:01:54 -0700","2017-09-18 10:58:42 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-21 10:32:00 -0500","","Travis County, US-TX, US",30.270138,-97.777226,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7972561","https://static.inaturalist.org/photos/10538720/medium.jpeg?1505698405","davidelchoma",7972561,"Juniper Hairstreak","Insecta",84239,"false",1,0,"10:32","2017-09-21","2017-09-21 08:32:00 -0700","Central Time (US & Canada)",14,"","","false","","",NA,36961,"2017-09-17 18:33:26 -0700","2017-09-21 12:12:08 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus sweadneri","2017-09-15 11:59:00 -0400","","Florida, US",28.93111011,-82.2201296863,"","Sweadner's Juniper Hairstreak","https://www.inaturalist.org/observations/7931683","https://static.inaturalist.org/photos/10470899/medium.jpeg?1505495320","j_appleget",7931683,"Sweadner's Juniper Hairstreak","Insecta",84241,"false",1,0,"2017/09/15 11:59 AM EDT","2017-09-15","2017-09-15 08:59:00 -0700","Eastern Time (US & Canada)",192,"Citrus County, FL, USA","","true","","",NA,472267,"2017-09-15 10:21:00 -0700","2017-09-15 10:32:06 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-13 00:00:00 -0600","Walked to the restroom with the camera in hand again.","Cedar Hill State Park, Texas",32.612036,-96.997862,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7906519","https://static.inaturalist.org/photos/10431079/medium.jpeg?1505334329","sambiology",7906519,"Juniper Hairstreak","Insecta",84239,"false",3,0,"2017-09-13","2017-09-13","","Central Time (US & Canada)",4,"","","false","","",NA,22589,"2017-09-13 13:25:30 -0700","2017-09-13 16:42:36 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-12 11:09:00 -0500","","Garfield, TX, USA",30.1955989399,-97.6101994514,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7898583","https://static.inaturalist.org/photos/10417976/medium.jpg?1505267702","ericisley",7898583,"Juniper Hairstreak","Insecta",84239,"false",2,0,"2017/09/12 11:09 AM CDT","2017-09-12","2017-09-12 09:09:00 -0700","Central Time (US & Canada)",31,"","","false","","",NA,15232,"2017-09-12 19:03:52 -0700","2017-09-12 19:33:00 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-12 13:55:00 -0500","","Circle C Ranch, Austin, TX, USA",30.2114189268,-97.8925609589,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7893424","https://static.inaturalist.org/photos/10409893/medium.jpeg?1505243654","centratex",7893424,"Juniper Hairstreak","Insecta",84239,"false",2,0,"2017/09/12 1:55 PM CDT","2017-09-12","2017-09-12 11:55:00 -0700","Central Time (US & Canada)",35,"","","false","","",NA,15215,"2017-09-12 12:15:31 -0700","2017-09-12 13:54:38 -0700","research","CC-BY-NC",NA,"false"
"Callophrys gryneus","2017-09-09 16:12:40 -0400","","4274 Waggoner Riffle Rd, West Union, OH, US",38.7630716667,-83.4618283333,"","Juniper Hairstreak","https://www.inaturalist.org/observations/7874141","https://static.inaturalist.org/photos/10378438/medium.jpg?1505105518","czach",7874141,"Juniper Hairstreak","Insecta",84239,"false",1,0,"Sat Sep 09 2017 16:12:40 GMT-0400 (EDT)","2017-09-09","2017-09-09 13:12:40 -0700","Eastern Time (US & Canada)",NA,"","","false","","",NA,435706,"2017-09-10 21:51:43 -0700","2017-09-11 20:20:26 -0700","research","",3,"false"
