"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Astraptes anaphus","2017-02-27 12:36:00 -0600","","San Pedro de los Cedros, 86472 Heroica Cárdenas, Tab., México",17.9924378239,-93.3903229237,"","Yellow-tipped Flasher","http://conabio.inaturalist.org/observations/5197001","https://static.inaturalist.org/photos/6412691/medium.jpeg?1488260698","joseduardo21",5197001,"Astraptes anaphus","Insecta",148816,"false",1,0,"2017/02/27 12:36 PM CST","2017-02-27","2017-02-27 11:36:00 -0700","Central Time (US & Canada)",8,NA,NA,"false","","",NA,38247,"2017-02-27 23:07:49 -0700","2017-03-01 12:15:22 -0700","research","",NA,"false"
"Astraptes anaphus annetta","2016-02-29 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/2775935","https://static.inaturalist.org/photos/3144679/medium.jpg?1457855948","magazhu",2775935,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2016-02-29","2016-02-29","","Guadalajara",NA,NA,NA,"false","","",NA,46555,"2016-03-13 00:59:06 -0700","2016-03-15 13:51:03 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2016-02-27 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/2775925","https://static.inaturalist.org/photos/3144669/medium.jpg?1457855326","magazhu",2775925,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2016-02-27","2016-02-27","","Guadalajara",NA,NA,NA,"false","","",NA,46555,"2016-03-13 00:48:43 -0700","2016-03-15 13:51:32 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2016-02-25 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/2723573","https://static.inaturalist.org/photos/3073284/medium.jpg?1456635063","magazhu",2723573,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2016-02-25","2016-02-25","","Guadalajara",NA,NA,NA,"false","","",NA,46555,"2016-02-27 21:50:57 -0700","2016-03-16 15:54:43 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2016-02-25 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/2723569","https://static.inaturalist.org/photos/3073275/medium.jpg?1456634982","magazhu",2723569,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2016-02-25","2016-02-25","","Guadalajara",NA,NA,NA,"false","","",NA,46555,"2016-02-27 21:49:39 -0700","2016-03-09 09:07:38 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2016-02-20 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/2702441","https://static.inaturalist.org/photos/3043337/medium.jpg?1456036525","magazhu",2702441,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2016-02-20","2016-02-20","","Guadalajara",NA,NA,NA,"false","","",NA,46555,"2016-02-20 23:35:23 -0700","2016-02-21 12:49:52 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2014-02-02 00:00:00 -0600","","parque nacional huatulco",15.72881,-96.15963,"","","http://www.inaturalist.org/observations/1888041","https://static.inaturalist.org/photos/2302026/medium.JPG?1440439138","momoto-erick",1888041,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2014-02-02","2014-02-02","","Mexico City",NA,NA,NA,"false","","",NA,26699,"2015-08-24 10:57:51 -0700","2016-02-04 10:31:43 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2015-02-07 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.488224,-105.448467,"","","http://www.inaturalist.org/observations/1220784","https://static.inaturalist.org/photos/1541719/medium.jpg?1423448663","magazhu",1220784,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2015-02-07","2015-02-07","","Guadalajara",2032,NA,NA,"false","","",NA,46555,"2015-02-08 19:24:01 -0700","2015-11-26 12:26:26 -0700","research","CC-BY-NC",NA,"false"
"Astraptes anaphus annetta","2014-02-21 00:00:00 -0600","","La Loma, Linares; Nuevo León",24.829164,-99.582911,"","","http://conabio.inaturalist.org/observations/539098","https://static.inaturalist.org/photos/685144/medium.JPG?1393047921","juancruzado",539098,"Astraptes anaphus annetta","Insecta",312225,"false",1,0,"2014-02-21","2014-02-21","","Monterrey",482,NA,NA,"false","","",NA,5772,"2014-02-21 22:45:12 -0700","2015-05-13 17:43:21 -0700","research","CC-BY-NC-SA",NA,"false"
