"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Pontia occidentalis","2017-07-17 03:18:00 -0700","A VERY blurry photo a a fast butterfly far away.","Fairbanks North Star, AK, USA",64.8061822398,-147.7459973337,"","Western White","https://www.inaturalist.org/observations/7100926","https://static.inaturalist.org/photos/9127581/medium.png?1500376717","jasonrgrant",7100926,"Western White","Insecta",209718,"false",1,0,"2017/07/17 3:18 AM -0800","2017-07-17","2017-07-17 03:18:00 -0700","Pacific Time (US & Canada)",163,"",NA,"false","","",NA,186163,"2017-07-18 04:20:27 -0700","2017-07-28 07:14:23 -0700","research","CC-BY-NC",NA,"false"
"Pontia occidentalis","2017-07-13 08:14:00 -0800","","Fairbanks North Star, AK, USA",64.7011861111,-147.1946416667,"","Western White","https://www.inaturalist.org/observations/7048898","https://static.inaturalist.org/photos/9046723/medium.png?1500049069","jasonrgrant",7048898,"Western White","Plantae",209718,"false",2,0,"2017/07/13 8:14 AM AKDT","2017-07-13","2017-07-13 09:14:00 -0700","Alaska",NA,"",NA,"false","","",NA,186163,"2017-07-14 09:21:20 -0700","2017-07-29 06:16:28 -0700","research","CC-BY-NC",NA,"false"
"Pontia occidentalis occidentalis","2017-07-04 00:00:00 -0700","","Browns Park NWR, Moffat County, CO, USA",40.8291379928,-109.0304660797,"","Western White ssp. occidentalis","https://www.inaturalist.org/observations/7019629","https://static.inaturalist.org/photos/9000682/medium.jpg?1499825489","mlodinow",7019629,"Western White ssp. occidentalis","Insecta",238110,"false",1,0,"2017/07/04 ","2017-07-04","","Arizona",1000,"",NA,"false","","",NA,159910,"2017-07-11 19:13:02 -0700","2017-08-03 20:42:39 -0700","research","CC-BY-NC",NA,"false"
"Pontia occidentalis occidentalis","2014-07-12 00:00:00 -0700","","chipeta lake, utah",40.791176,-110.019656,"","Western White ssp. occidentalis","https://www.inaturalist.org/observations/6476229","https://static.inaturalist.org/photos/8190369/medium.jpeg?1496463913","kerbyiggy",6476229,"Western White","Insecta",238110,"false",1,0,"2014-07-12","2014-07-12","","Mountain Time (US & Canada)",863,"",NA,"false","","",NA,397386,"2017-06-02 21:25:10 -0700","2017-06-03 17:29:17 -0700","research","CC-BY-NC",NA,"false"
"Pontia occidentalis","2016-07-21 00:00:00 +0000","                               ","Glacier County, MT, USA",48.7606203794,-113.7302600873,"","Western White","http://www.inaturalist.org/observations/4091761","https://static.inaturalist.org/photos/4857099/medium.jpeg?1473652181","nathan20",4091761,"Western White","Insecta",209718,"false",2,0,"2016/07/21 2:54 PM UTC","2016-07-21","","UTC",150,"",NA,"false","","",NA,220924,"2016-09-11 20:51:07 -0700","2016-10-08 17:21:39 -0700","research","",NA,"false"
"Pontia occidentalis","2016-07-18 00:00:00 +0000","                               ","Highline Trail, West Glacier, MT, United States",48.744262,-113.7377214,"","Western White","http://www.inaturalist.org/observations/4091590","https://static.inaturalist.org/photos/4856897/medium.jpeg?1473651012","nathan20",4091590,"Western White","Insecta",209718,"false",2,0,"2016/07/18 5:01 PM UTC","2016-07-18","","UTC",NA,"",NA,"false","","",NA,220924,"2016-09-11 20:36:22 -0700","2016-10-04 21:58:14 -0700","research","",NA,"false"
"Pontia occidentalis occidentalis","2014-07-08 12:32:00 -0700","","Idaho County, US-ID, US",46.024263716,-116.0790109634,"","Western White ssp. occidentalis","http://www.inaturalist.org/observations/3967459","https://static.inaturalist.org/photos/4677471/medium.jpg?1472231617","khazelbaker",3967459,"Western White","Insecta",238110,"false",1,0,"2014/07/08 12:32 PM PDT","2014-07-08","2014-07-08 12:32:00 -0700","Pacific Time (US & Canada)",122,"",NA,"false","","",NA,314307,"2016-08-26 10:35:16 -0700","2016-08-26 10:46:34 -0700","research","CC0",NA,"false"
"Pontia occidentalis","2016-07-17 09:44:40 -0700","Larimer County, Colorado, US","Rocky Mountain NP",40.424747,-105.753492,"","Western White","http://www.inaturalist.org/observations/3750057","https://static.inaturalist.org/photos/4363336/medium.jpg?1469564445","finatic",3750057,"Western White","Insecta",209718,"false",2,0,"2016-07-17 09:44:40","2016-07-17","2016-07-17 09:44:40 -0700","Pacific Time (US & Canada)",NA,"",NA,"false","","",NA,10285,"2016-07-26 13:20:26 -0700","2016-08-16 15:41:42 -0700","research","CC-BY-NC",NA,"false"
"Pontia occidentalis","2016-07-26 09:50:51 -0700","","93541, Lee Vining, CA, US",37.87445,-119.1462638333,"","Western White","http://www.inaturalist.org/observations/3749377","https://static.inaturalist.org/photos/4362252/medium.jpeg?1469555537","robberfly",3749377,"Western White","Insecta",209718,"false",1,0,"Tue Jul 26 2016 09:50:51 GMT-0700 (PDT)","2016-07-26","2016-07-26 09:50:51 -0700","Pacific Time (US & Canada)",NA,"",NA,"false","","",NA,13979,"2016-07-26 10:51:32 -0700","2016-07-31 19:33:51 -0700","research","CC-BY-NC",3,"false"
"Pontia occidentalis","2016-07-17 09:41:12 -0700","Larimer County, Colorado, US","Rocky Mountain NP",40.424763,-105.753406,"","Western White","http://www.inaturalist.org/observations/3721003","https://static.inaturalist.org/photos/4324804/medium.jpg?1469204505","finatic",3721003,"Western White","Insecta",209718,"false",2,0,"2016-07-17 09:41:12","2016-07-17","2016-07-17 09:41:12 -0700","Pacific Time (US & Canada)",NA,"",NA,"false","","",NA,10285,"2016-07-22 09:21:26 -0700","2016-08-20 19:46:22 -0700","research","CC-BY-NC",NA,"false"
