"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Heraclides rogeri pharnaces","2017-07-24 12:25:00 -0500","","Tangamandapio, Mich., México",19.9712463595,-102.4412548542,"","Pink-spotted Swallowtail","http://conabio.inaturalist.org/observations/7335130","https://static.inaturalist.org/photos/9503848/medium.jpeg?1501783521","javaro",7335130,"Mariposa cometa del zapote","Insecta",509650,"false",2,0,"2017/07/24 12:25 PM CDT","2017-07-24","2017-07-24 10:25:00 -0700","Central Time (US & Canada)",8,"","","false","","",NA,176272,"2017-08-03 11:17:47 -0700","2017-08-31 21:08:52 -0700","research","CC-BY-NC",NA,"false"
"Heraclides rogeri pharnaces","2017-07-07 14:50:00 -0500","","Oaxaca, MX",17.0489385736,-96.7838607608,"","Pink-spotted Swallowtail","http://conabio.inaturalist.org/observations/7240008","https://static.inaturalist.org/photos/9351424/medium.jpg?1501201076","rcancco",7240008,"Mariposa cometa del zapote","Insecta",509650,"false",2,0,"2017/07/07 2:50 PM CDT","2017-07-07","2017-07-07 12:50:00 -0700","Central Time (US & Canada)",488,"Area sin Asignacion de Nombre de Colonia, 68070 Oaxaca, Oax., México","obscured","true","","",NA,200504,"2017-07-27 17:19:53 -0700","2017-08-27 14:26:04 -0700","research","CC-BY-NC-ND",NA,"false"
"Heraclides rogeri pharnaces","2017-07-01 18:49:00 -0500","","Yahualica de González Gallo, Jal., México",21.1500515131,-102.9898661617,"","Pink-spotted Swallowtail","http://conabio.inaturalist.org/observations/7152759","https://static.inaturalist.org/photos/9210951/medium.jpeg?1500689783","ingyl_poncetejedai",7152759,"Mariposa cometa del zapote","Insecta",509650,"false",2,0,"2017/07/01 6:49 PM CDT","2017-07-01","2017-07-01 16:49:00 -0700","Central Time (US & Canada)",451,"","","false","","",NA,86947,"2017-07-21 20:12:29 -0700","2017-10-08 12:28:43 -0700","research","CC-BY-NC",NA,"false"
"Heraclides rogeri pharnaces","2016-07-28 13:30:00 -0500","","Camino a Cata Cata Guanajuato, Gto.",21.0280746155,-101.25393413,"","Pink-spotted Swallowtail","http://www.inaturalist.org/observations/4358276","https://static.inaturalist.org/photos/5224442/medium.png?1476509461","julieta94",4358276,"Mariposa cometa del zapote","Insecta",509650,"false",2,0,"2016-07-28 1:30:00 PM CDT","2016-07-28","2016-07-28 11:30:00 -0700","Central Time (US & Canada)",129,"","","false","gps","gps",NA,329069,"2016-10-14 22:30:47 -0700","2017-08-28 04:24:08 -0700","research","",2,"false"
"Heraclides rogeri pharnaces","2016-07-02 17:59:00 -0500","","Querétaro, MX",20.2381535257,-99.863418655,"","Pink-spotted Swallowtail","http://conabio.inaturalist.org/observations/3639973","https://static.inaturalist.org/photos/4208939/medium.jpg?1467933068","manuelbasurto",3639973,"Pink-spotted Swallowtail","Insecta",509650,"false",1,0,"2016/07/02 5:59 PM CDT","2016-07-02","2016-07-02 15:59:00 -0700","Central Time (US & Canada)",244,"San Juan del Río, Qro., México","obscured","true","","",NA,106414,"2016-07-07 16:11:48 -0700","2017-08-28 13:54:23 -0700","research","",NA,"false"
"Heraclides rogeri pharnaces","2016-07-02 07:54:03 -0500","","Maravatio de Ocampo - Acambaro 3 Zona Centro Acámbaro, Gto.",20.0379163561,-100.7144091278,"","Pink-spotted Swallowtail","http://conabio.inaturalist.org/observations/3627206","https://static.inaturalist.org/photos/4189703/medium.jpeg?1467739270","elvis",3627206,"Pink-spotted Swallowtail","Insecta",509650,"true",2,0,"2016-07-02 7:54:03 AM CDT","2016-07-02","2016-07-02 05:54:03 -0700","Central Time (US & Canada)",129,"","","false","gps","gps",NA,23738,"2016-07-05 10:20:34 -0700","2017-03-12 14:03:58 -0700","research","CC-BY-NC-SA",2,"false"
"Papilio rogeri","2016-07-03 13:07:00 -0500","                               ","Centro, Tepatitlán de Morelos, Jal., México",20.8189745093,-102.7554488182,"","","http://conabio.inaturalist.org/observations/3620722","https://static.inaturalist.org/photos/4179276/medium.JPG?1467653628","ingyl_poncetejedai",3620722,"Papilio rogeri","Insecta",509631,"false",1,0,"2016/07/03 1:07 PM CDT","2016-07-03","2016-07-03 11:07:00 -0700","Central Time (US & Canada)",15,"","","false","","",NA,86947,"2016-07-04 10:46:44 -0700","2017-06-07 07:23:54 -0700","research","CC-BY-NC",NA,"false"
"Heraclides rogeri pharnaces","2015-07-27 12:20:39 -0500","","crucecita huatulco",15.767423,-96.134663,"","Pink-spotted Swallowtail","http://www.inaturalist.org/observations/2088903","https://static.inaturalist.org/photos/2499457/medium.JPG?1444367973","momoto-erick",2088903,"Mariposa cometa del zapote","Insecta",509650,"false",1,0,"2015-07-27 12:20:39","2015-07-27","2015-07-27 10:20:39 -0700","Mexico City",255,"","","false","","",NA,26699,"2015-10-08 22:18:38 -0700","2017-08-28 14:27:04 -0700","research","CC-BY-NC",NA,"false"
"Papilio rogeri","2012-07-29 04:03:56 -0500"," Pink-spotted Swallowtail ","Chunhuhub, Quintana Roo, Mexico",19.578754,-88.613791,"","","http://www.inaturalist.org/observations/1936122","https://static.inaturalist.org/photos/2369288/medium.jpg?1444564513","pavelkirillov",1936122,"Mariposa cometa negra de manchas rosas","Insecta",509631,"false",2,0,"2012-07-29 04:03:56","2012-07-29","2012-07-29 02:03:56 -0700","Mexico City",NA,"","","false","","",NA,20008,"2015-09-11 10:47:08 -0700","2017-08-28 15:16:37 -0700","research","CC-BY-NC",NA,"false"
"Heraclides rogeri pharnaces","2015-07-10 00:00:00 -0600","","Cuernavaca, Mexico",18.92421,-99.221566,"","Pink-spotted Swallowtail","http://www.inaturalist.org/observations/1830289","https://static.inaturalist.org/photos/2222172/medium.JPG?1438658046","emckiernan",1830289,"Mariposa cometa del zapote","Insecta",509650,"false",2,0,"2015-07-10","2015-07-10","","Central Time (US & Canada)",10801,"","","false","","",NA,31033,"2015-08-03 20:13:48 -0700","2017-08-28 14:31:41 -0700","research","CC-BY-NC-ND",NA,"false"
