"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Battus polydamas","2014-05-01 00:00:00 -0400","","Homestead, FL, USA",25.4687224,-80.4775569,"","Polydamas Swallowtail","https://www.inaturalist.org/observations/7451434","https://static.inaturalist.org/photos/9691228/medium.jpeg?1502484115","birdizlife",7451434,"Polydamas Swallowtail","Insecta",68275,"false",2,0,"2014/05/01 12:00 AM EDT","2014-05-01","2014-04-30 21:00:00 -0700","Eastern Time (US & Canada)",8135,"","","false","","",NA,154438,"2017-08-11 13:42:15 -0700","2017-08-15 15:03:46 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas","2017-05-18 14:39:30 -0500","","Autlan De Navarro, Jalisco, Mexico",19.774376,-104.359731,"Battus polydamas","Polydamas Swallowtail","http://conabio.inaturalist.org/observations/6713048","https://static.inaturalist.org/photos/8518174/medium.jpg?1497840391","cpalomera",6713048,"Mariposa luminaria de borde dorado","Insecta",68275,"false",1,0,"2017-05-18 14:39:30","2017-05-18","2017-05-18 12:39:30 -0700","Central Time (US & Canada)",NA,"","","false","","",NA,78552,"2017-06-18 19:46:27 -0700","2017-07-09 16:29:59 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas","2017-05-30 09:44:00 -1000","","Mazatlán, MX-SI, MX",23.299,-106.443,"","Polydamas Swallowtail","http://conabio.inaturalist.org/observations/6434756","https://static.inaturalist.org/photos/8127201/medium.jpeg?1496177077","francisco3",6434756,"Mariposa luminaria de borde dorado","Insecta",68275,"false",2,0,"2017/05/30 9:44 AM HST","2017-05-30","2017-05-30 12:44:00 -0700","Hawaii",NA,"","","false","","",NA,21626,"2017-05-30 13:46:08 -0700","2017-08-17 19:06:14 -0700","research","CC-BY",NA,"false"
"Battus polydamas","2017-05-13 15:00:00 -0500","","Coatzacoalcos, Veracruz, Mexico",18.14756,-94.49135,"Lepidópteros de México","Polydamas Swallowtail","http://conabio.inaturalist.org/observations/6209071","https://static.inaturalist.org/photos/7797929/medium.jpg?1494788891","homerobeunicus",6209071,"Mariposa luminaria de borde dorado","Insecta",68275,"false",1,0,"2017/05/13 3:00 PM CDT","2017-05-13","2017-05-13 13:00:00 -0700","Central Time (US & Canada)",NA,"","","false","","",NA,85026,"2017-05-14 12:09:20 -0700","2017-05-14 15:34:13 -0700","research","",NA,"false"
"Battus polydamas","2017-05-13 15:56:43 -0400","","Florida, US",28.0580524134,-80.6225135738,"","Polydamas Swallowtail","https://www.inaturalist.org/observations/6196802","https://static.inaturalist.org/photos/7778514/medium.jpeg?1494705475","matthewtownsend",6196802,"Polydamas Swallowtail","Insecta",68275,"false",2,0,"2017-05-13 3:56:43 PM EDT","2017-05-13","2017-05-13 12:56:43 -0700","Eastern Time (US & Canada)",516,"336 Rheine Road Northwest Palm Bay, FL 32907","obscured","true","gps","gps",NA,468153,"2017-05-13 12:57:39 -0700","2017-09-09 19:08:14 -0700","research","",2,"false"
"Battus polydamas","2017-05-10 16:36:59 -0400","","300 S Military Trl, Boca Raton, FL, US",26.3450287236,-80.1266733651,"","Polydamas Swallowtail","https://www.inaturalist.org/observations/6163457","https://static.inaturalist.org/photos/7728760/medium.jpg?1494448659","daniele16",6163457,"Polydamas Swallowtail","Insecta",68275,"false",1,0,"Wed May 10 2017 16:36:59 GMT-0400 (EDT)","2017-05-10","2017-05-10 13:36:59 -0700","Eastern Time (US & Canada)",5,"","","false","","",NA,478961,"2017-05-10 13:37:25 -0700","2017-05-11 08:25:02 -0700","research","",3,"false"
"Battus polydamas lucayus","2017-05-08 15:35:00 -0400","","Alachua County, FL, USA",29.6685619604,-82.238646,"","","https://www.inaturalist.org/observations/6155609","https://static.inaturalist.org/photos/7717192/medium.jpg?1494377031","gaudettelaura",6155609,"Battus polydamas lucayus","Insecta",234556,"false",1,0,"2017/05/08 3:35 PM EDT","2017-05-08","2017-05-08 12:35:00 -0700","Eastern Time (US & Canada)",20,"","","false","","",NA,12049,"2017-05-09 18:13:23 -0700","2017-10-13 20:08:59 -0700","research","CC0",NA,"false"
"Battus polydamas polydamas","2017-05-06 09:04:00 -1000","","Mazatlán, MX-SI, MX",23.299,-106.443,"","","http://conabio.inaturalist.org/observations/6134575","https://static.inaturalist.org/photos/7684517/medium.jpeg?1494211403","francisco3",6134575,"Mariposa luminaria","Insecta",312663,"false",1,0,"2017/05/06 9:04 AM HST","2017-05-06","2017-05-06 12:04:00 -0700","Hawaii",NA,"","","false","","",NA,21626,"2017-05-07 19:43:50 -0700","2017-05-07 21:15:04 -0700","research","CC-BY",NA,"false"
"Battus polydamas","2015-05-11 18:56:06 -0400","","14831 SW 148th Street Cir, Miami, FL, US",25.6289883333,-80.4307633333,"","Polydamas Swallowtail","https://www.inaturalist.org/observations/5247094","https://static.inaturalist.org/photos/6491536/medium.jpg?1488940006","noaboa",5247094,"Polydamas Swallowtail","Insecta",68275,"false",2,0,"Mon May 11 2015 18:56:06 GMT-0400 (EDT)","2015-05-11","2015-05-11 15:56:06 -0700","Eastern Time (US & Canada)",NA,"","","false","","",NA,277896,"2017-03-07 19:26:30 -0700","2017-09-07 19:44:48 -0700","research","",3,"false"
"Battus polydamas polydamas","2016-05-31 00:00:00 -0700","En Paco´s Reserva Natural de Flora y Fauna Silvestre","En Paco´s Reserva Natural de Flora y Fauna Silvestre",23.303503,-106.437054,"","","http://conabio.inaturalist.org/observations/3432679","https://static.inaturalist.org/photos/3977302/medium.jpg?1465622075","pacof",3432679,"Mariposa luminaria","Insecta",312663,"true",2,0,"2016-05-31","2016-05-31","","Mazatlan",19,"","","false","","",NA,42186,"2016-06-10 22:14:31 -0700","2016-07-14 00:07:51 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas polydamas","2016-05-31 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/3361964","https://static.inaturalist.org/photos/3882159/medium.jpg?1464844578","magazhu",3361964,"Battus polydamas polydamas","Insecta",312663,"true",1,0,"2016-05-31","2016-05-31","","Guadalajara",NA,"","","false","","",NA,46555,"2016-06-01 22:16:14 -0700","2016-06-03 21:46:44 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas","2016-05-29 13:41:00 -1000","","Mazatlán, MX-SI, MX",23.299,-106.443,"","Polydamas Swallowtail","http://conabio.inaturalist.org/observations/3336854","https://static.inaturalist.org/photos/3853590/medium.JPG?1464575553","francisco3",3336854,"Polydamas Swallowtail","Insecta",68275,"false",1,0,"2016/05/29 1:41 PM -1000","2016-05-29","2016-05-29 16:41:00 -0700","Hawaii",NA,"","","false","","",NA,21626,"2016-05-29 19:39:46 -0700","2016-08-27 17:59:12 -0700","research","CC-BY",NA,"false"
"Battus polydamas polydamas","2016-05-21 00:00:00 -0600","","Yelapa, Jalisco, Mexico",20.487292,-105.442808,"","","http://www.inaturalist.org/observations/3277851","https://static.inaturalist.org/photos/3790307/medium.jpg?1463982705","magazhu",3277851,"Battus polydamas polydamas","Insecta",312663,"true",1,0,"2016-05-21","2016-05-21","","Guadalajara",NA,"","","false","","",NA,46555,"2016-05-22 22:51:42 -0700","2016-05-26 13:07:39 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas polydamas","2016-05-16 00:00:00 -1000","","Universidad de Quintana Roo",18.513016,-88.28014,"","","http://conabio.inaturalist.org/observations/3191436","https://static.inaturalist.org/photos/3693904/medium.jpg?1463443003","hugoalvarezg",3191436,"Mariposa luminaria","Insecta",312663,"false",1,0,"2016-05-16","2016-05-16","","Hawaii",1734,"","","false","","",NA,16952,"2016-05-16 16:56:42 -0700","2016-10-23 19:45:57 -0700","research","",NA,"false"
"Battus polydamas polydamas","2016-05-06 11:31:09 -1000","","Mazatlán, Sinaloa, Mexico",23.2989527778,-106.4386055556,"","","http://conabio.inaturalist.org/observations/3116194","https://static.inaturalist.org/photos/3603143/medium.JPG?1462586530","francisco3",3116194,"Mariposa luminaria","Insecta",312663,"false",1,0,"2016-05-06 11:31:09","2016-05-06","2016-05-06 14:31:09 -0700","Hawaii",NA,"","","false","","",NA,21626,"2016-05-06 19:02:08 -0700","2016-05-11 06:23:43 -0700","research","CC-BY",NA,"false"
"Battus polydamas","2015-05-12 00:00:00 -0600","Mariposa","Alrrededores de Montepio",18.641081,-95.09315,"","Polydamas Swallowtail","http://conabio.inaturalist.org/observations/2394262","https://static.inaturalist.org/photos/2667510/medium.jpg?1447797469","angelicabecerrat",2394262,"Mariposa luminaria de borde dorado","Insecta",68275,"false",2,0,"2015-05-12","2015-05-12","","Mexico City",344,"","","false","","",NA,41331,"2015-11-17 14:57:32 -0700","2016-01-06 20:24:21 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas","2010-05-09 00:00:00 -0300","","Ribera norte, Buenos Aires",-34.468794,-58.493798,"","Polydamas Swallowtail","http://www.inaturalist.org/observations/1561505","https://static.inaturalist.org/photos/1933270/medium.JPG?1432922586","nicoolejnik",1561505,"Polydamas Swallowtail","Insecta",68275,"false",1,0,"2010-05-09","2010-05-09","","Buenos Aires",157,"","","false",NA,"",NA,50445,"2015-05-29 11:02:59 -0700","2017-09-24 22:26:31 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas","2015-05-15 00:00:00 -0500","","Mead Botanical Garden",28.583989,-81.358274,"","Polydamas Swallowtail","http://www.inaturalist.org/observations/1522749","https://static.inaturalist.org/photos/1887001/medium.jpg?1432265015","thomasbroxtonjr",1522749,"Battus polydamas","Insecta",68275,"false",1,0,"2015-05-15","2015-05-15","","Eastern Time (US & Canada)",462,"","","false",NA,"",NA,100785,"2015-05-21 20:23:22 -0700","2017-03-22 13:58:16 -0700","research","CC-BY-NC",NA,"false"
"Battus polydamas","2014-05-30 11:28:45 -0400","","SW 224th St, Miami, FL, US",25.5583116667,-80.4519966667,"","Polydamas Swallowtail","http://www.inaturalist.org/observations/707857","https://static.inaturalist.org/photos/889475/medium.jpg?1401506630","gyrrlfalcon",707857,"Gold Rim Swallowtail","Insecta",68275,"false",3,0,"Fri May 30 2014 11:28:45 GMT-0400 (EDT)","2014-05-30","2014-05-30 08:28:45 -0700","Eastern Time (US & Canada)",NA,"","","false",NA,"",NA,8778,"2014-05-30 20:23:43 -0700","2017-03-22 13:56:05 -0700","research","CC-BY-NC",3,"false"
"Battus polydamas","2014-05-29 11:11:10 -1000","","Rancho Los Venados Mazatlán Sinaloa México ",23.299536,-106.443615,"","Polydamas Swallowtail","http://conabio.inaturalist.org/observations/706448","https://static.inaturalist.org/photos/887563/medium.JPG?1401422112","francisco3",706448,"Mariposa luminaria de borde dorado","Insecta",68275,"false",3,0,"2014-05-29 11:11:10","2014-05-29","2014-05-29 14:11:10 -0700","Hawaii",243,"","","false",NA,"",NA,21626,"2014-05-29 20:55:02 -0700","2015-09-04 10:21:55 -0700","research","CC-BY",NA,"false"
"Battus polydamas polydamas","2014-05-22 08:24:23 -1000","","Rancho Los Venados Mazatlán Sinaloa Mexico",23.299694,-106.443615,"","","http://conabio.inaturalist.org/observations/694303","https://static.inaturalist.org/photos/871521/medium.JPG?1400816502","francisco3",694303,"Battus polydamas polydamas","Insecta",312663,"false",2,0,"2014-05-22 08:24:23","2014-05-22","2014-05-22 11:24:23 -0700","Hawaii",243,"","","false",NA,"",NA,21626,"2014-05-22 20:41:37 -0700","2015-09-04 10:21:55 -0700","research","CC-BY",NA,"false"
"Battus polydamas polydamas","2014-05-11 09:28:39 -1000","","Rancho Los Venados Mazatlán Sinaloa México ",23.299615,-106.443529,"","","http://conabio.inaturalist.org/observations/672557","https://static.inaturalist.org/photos/847075/medium.JPG?1399839306","francisco3",672557,"Battus polydamas polydamas","Insecta",312663,"false",2,0,"2014-05-11 09:28:39","2014-05-11","2014-05-11 12:28:39 -0700","Hawaii",243,"","","false",NA,"",NA,21626,"2014-05-11 13:15:02 -0700","2015-05-16 10:44:46 -0700","research","CC-BY",NA,"false"
"Battus polydamas","2006-05-15 00:00:00 -1000","","Mazatlán, MX-SI, MX",23.299349,-106.443465,"","Polydamas Swallowtail","http://www.inaturalist.org/observations/412636","https://static.inaturalist.org/photos/519434/medium.jpg?1380510703","francisco3",412636,"Mariposa luminaria de borde dorado","Insecta",68275,"true",1,0,"2006-05-15","2006-05-15","","Hawaii",30,"","","false",NA,"",NA,21626,"2013-09-29 20:11:37 -0700","2017-04-18 07:01:52 -0700","research","CC-BY",NA,"false"
