"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Papilio polyxenes","2014-07-25 12:26:00 -0400","Confederation Park, Hamilton, ON, Canada","Confederation Park, Hamilton, ON, Canada",43.2433055556,-79.7415833333,"Black Swallowtail, Papilio polyxenes","Black Swallowtail","https://www.inaturalist.org/observations/8521620","https://static.inaturalist.org/photos/11376983/medium.jpg?1508783025","paultavares",8521620,"Black Swallowtail","Insecta",58523,"false",2,0,"2014/07/25 12:26 PM EDT","2014-07-25","2014-07-25 09:26:00 -0700","Eastern Time (US & Canada)",30,"","","false","","",NA,3181,"2017-10-23 11:26:16 -0700","2017-10-23 12:55:40 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes","2017-07-21 18:34:18 -0400","","Guelph",43.526728,-80.238996,"","Black Swallowtail","https://www.inaturalist.org/observations/8355579","https://static.inaturalist.org/photos/11104468/medium.jpg?1507698008","ryanhodnett",8355579,"Black Swallowtail","Insecta",58523,"false",3,0,"2017-07-21 18:34:18","2017-07-21","2017-07-21 15:34:18 -0700","Eastern Time (US & Canada)",25,"","","false","","manual",NA,422985,"2017-10-10 22:00:22 -0700","2017-10-11 13:48:37 -0700","research","CC-BY-SA",NA,"false"
"Papilio polyxenes asterius","2017-07-06 10:59:12 -0400","","2336 Berdan Ave, Toledo, OH, US",41.6890666667,-83.6002966667,"","Eastern Black Swallowtail","https://www.inaturalist.org/observations/8179182","https://static.inaturalist.org/photos/10833804/medium.jpg?1506741566","alypeacelove",8179182,"Eastern Black Swallowtail","Insecta",54900,"false",2,0,"Thu Jul 06 2017 10:59:12 GMT-0400 (EDT)","2017-07-06","2017-07-06 07:59:12 -0700","Eastern Time (US & Canada)",NA,"","","false","","",NA,651284,"2017-09-29 20:19:20 -0700","2017-09-30 18:46:06 -0700","research","",3,"false"
"Papilio polyxenes","2016-07-21 09:56:00 -0600","Whenever we find them, we bring the eggs and caterpillars inside and raise them in aquariums as the introduced European Paper Wasp is wreaking havoc on this species.","Boulder County, CO, USA",40.1717348212,-105.2151417732,"6 21 16 Moths, newly hatched Black Swallowtails","Black Swallowtail","https://www.inaturalist.org/observations/8150132","https://static.inaturalist.org/photos/10789655/medium.jpeg?1506576304","moabgardener",8150132,"Black Swallowtail","Insecta",58523,"false",1,0,"2016/07/21 9:56 AM MDT","2016-07-21","2016-07-21 08:56:00 -0700","Mountain Time (US & Canada)",31,"","","false","","",NA,330941,"2017-09-27 22:26:40 -0700","2017-09-27 23:24:22 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes","2016-07-16 10:35:00 -0600","Female ovipositing on dill.","Boulder County, CO, USA",40.1718987822,-105.2150559425,"7 16 16 Moths, Black Swallowtail ovipositing","Black Swallowtail","https://www.inaturalist.org/observations/8149903","https://static.inaturalist.org/photos/10789365/medium.jpeg?1506574448","moabgardener",8149903,"Black Swallowtail","Insecta",58523,"false",2,0,"2016/07/16 10:35 AM MDT","2016-07-16","2016-07-16 09:35:00 -0700","Mountain Time (US & Canada)",31,"","","false","","",NA,330941,"2017-09-27 21:54:44 -0700","2017-09-29 13:04:40 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes","2017-07-12 14:11:00 -0500","","Minnesota, US",44.9659678059,-93.1712154023,"","Black Swallowtail","https://www.inaturalist.org/observations/8143978","https://static.inaturalist.org/photos/10780254/medium.jpg?1506545303","jbrand",8143978,"Black Swallowtail","Insecta",58523,"false",2,0,"2017/07/12 2:11 PM CDT","2017-07-12","2017-07-12 12:11:00 -0700","Central Time (US & Canada)",172,"929 Nevada Ave W, St Paul, MN 55117, USA","obscured","true","","",NA,645772,"2017-09-27 13:48:45 -0700","2017-09-27 17:38:33 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes asterius","2017-07-28 11:31:00 -0400","","Kings Forest Upper, Hamilton, ON, Canada",43.2068337028,-79.8180770874,"","Eastern Black Swallowtail","https://www.inaturalist.org/observations/8084572","https://static.inaturalist.org/photos/10720002/medium.jpg?1506315515","buddym",8084572,"Eastern Black Swallowtail","Insecta",54900,"false",2,0,"2017/07/28 11:31 AM EDT","2017-07-28","2017-07-28 08:31:00 -0700","Eastern Time (US & Canada)",61,"","","false","","",NA,476020,"2017-09-24 22:16:55 -0700","2017-09-26 20:00:43 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes","2015-07-15 17:14:00 -0700","Butterfly was feeding at wildflowers near hiking path and duck ponds. Sunny afternoon with temps in the 70's F.","Erie County, NY, USA",42.8036527778,-78.6445305556,"","Black Swallowtail","https://www.inaturalist.org/observations/8084313","https://static.inaturalist.org/photos/10719746/medium.jpeg?1506314318","ezeemonee",8084313,"Black Swallowtail","Insecta",58523,"false",2,0,"2015/07/15 5:14 PM PDT","2015-07-15","2015-07-15 17:14:00 -0700","Pacific Time (US & Canada)",NA,"","","false","","",NA,429191,"2017-09-24 21:39:29 -0700","2017-09-26 20:06:42 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes","2017-07-05 12:02:00 -0400","","Tweed, ON, Canada",44.4864639855,-77.3193740845,"","Black Swallowtail","https://www.inaturalist.org/observations/8007696","https://static.inaturalist.org/photos/10596607/medium.jpg?1505906642","joebartok",8007696,"Black Swallowtail","Insecta",58523,"false",5,0,"2017/07/05 12:02 PM EDT","2017-07-05","2017-07-05 09:02:00 -0700","Eastern Time (US & Canada)",61,"","","false","","",NA,584526,"2017-09-20 04:24:56 -0700","2017-10-22 06:09:25 -0700","research","CC-BY-NC",NA,"false"
"Papilio polyxenes","2015-07-25 18:06:00 -0300","","Toronto, ON, Canada",43.653226,-79.3831843,"","Black Swallowtail","https://www.inaturalist.org/observations/7954205","https://static.inaturalist.org/photos/10507708/medium.jpg?1505606647","susanzurawski",7954205,"Black Swallowtail","Insecta",58523,"false",2,0,"2015/07/25 6:06 PM ADT","2015-07-25","2015-07-25 14:06:00 -0700","Atlantic Time (Canada)",9838,"","","false","","",NA,631977,"2017-09-16 17:05:02 -0700","2017-09-16 19:31:58 -0700","research","CC-BY-NC",NA,"false"
