"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Glutophrissa drusilla","2013-04-23 21:58:00 -0500","","Ramos Arizpe, Coah., México",25.6168595856,-101.086063385,"","Florida White","https://www.inaturalist.org/observations/8508314","https://static.inaturalist.org/photos/11354384/medium.jpeg?1508700705","ventura",8508314,"Mariposa alma","Insecta",81732,"false",2,0,"2013/04/23 9:58 PM CDT","2013-04-23","2013-04-23 19:58:00 -0700","Central Time (US & Canada)",15,NA,NA,"false","","",NA,653353,"2017-10-22 12:32:05 -0700","2017-10-25 17:38:23 -0700","research","CC-BY-NC",NA,"false"
"Glutophrissa drusilla tenuis","2017-09-16 00:34:00 -0600","","Tepic, Nay., México",21.5760381991,-104.9025571346,"","","https://www.inaturalist.org/observations/7954508","https://static.inaturalist.org/photos/10508340/medium.jpg?1505607593","aleturkmen",7954508,"Glutophrissa drusilla tenuis","Insecta",312439,"false",1,0,"2017/09/16 12:34 AM -0600","2017-09-16","2017-09-15 23:34:00 -0700","Central America",15,NA,NA,"false","","",NA,507298,"2017-09-16 17:19:58 -0700","2017-09-22 14:21:18 -0700","research","CC-BY-NC-SA",NA,"false"
"Glutophrissa drusilla tenuis","2017-09-04 11:02:00 -0700","","Oaxaca, Mexico",15.7931616667,-96.0537883333,"","","https://www.inaturalist.org/observations/7784359","https://static.inaturalist.org/photos/10230458/medium.jpg?1504561135","huatulco",7784359,"Glutophrissa drusilla tenuis","Insecta",312439,"false",1,0,"2017/09/04 11:02 AM PDT","2017-09-04","2017-09-04 11:02:00 -0700","Pacific Time (US & Canada)",NA,NA,NA,"false","","",NA,42662,"2017-09-04 14:52:44 -0700","2017-09-04 15:14:12 -0700","research","CC-BY-NC-SA",NA,"false"
"Glutophrissa drusilla","2017-09-04 09:36:19 +0700","","7H, Av Luis Donaldo Colosio, Centro, 83000 Hermosillo, Son., México",29.081512,-110.9693057,"","Florida White","https://www.inaturalist.org/observations/7779315","https://static.inaturalist.org/photos/10222956/medium.jpeg?1504545906","valeriacanedo6",7779315,"Florida White","Insecta",81732,"false",1,0,"2017-09-04 9:36:19 AM GMT-07:00","2017-09-04","2017-09-03 19:36:19 -0700","Bangkok",20,NA,NA,"false","","",NA,311743,"2017-09-04 10:24:52 -0700","2017-09-04 11:32:53 -0700","research","",2,"false"
"Glutophrissa drusilla","2017-06-27 12:16:00 -0500","","Chan Chich Lodge, Orange Walk District, Belize",17.538815,-89.1003783333,"","Florida White","https://www.inaturalist.org/observations/7524937","https://static.inaturalist.org/photos/9812089/medium.jpg?1502926341","rkostecke",7524937,"Florida White","Insecta",81732,"false",1,0,"2017/06/27 12:16 PM CDT","2017-06-27","2017-06-27 10:16:00 -0700","Central Time (US & Canada)",NA,NA,NA,"false","","",NA,63375,"2017-08-16 16:32:35 -0700","2017-09-01 09:36:37 -0700","research","CC-BY-NC",NA,"false"
"Glutophrissa drusilla","2010-08-23 09:27:00 -0600","On lantana in butterfly garden. Locally rare.","10359 S Thicket Place, Hereford, AZ 85615, USA",31.380235,-110.228062,"","Florida White","https://www.inaturalist.org/observations/7516603","https://static.inaturalist.org/photos/9798462/medium.jpg?1502860187","rbehrstock",7516603,"Florida White","Insecta",81732,"false",1,0,"2010/08/23 9:27 AM MST","2010-08-23","2010-08-23 08:27:00 -0700","Mountain Time (US & Canada)",NA,NA,NA,"false","","",NA,561888,"2017-08-15 22:13:12 -0700","2017-08-16 04:26:27 -0700","research","CC-BY-NC",NA,"false"
"Glutophrissa drusilla tenuis","2017-08-07 10:59:00 -0500","","Cadereyta de Montes, Qro., México",20.6851599009,-99.803745523,"","","http://conabio.inaturalist.org/observations/7417088","https://static.inaturalist.org/photos/9636244/medium.jpeg?1502251222","belemqueuedelapin",7417088,"Mariposa alma","Insecta",312439,"false",1,0,"2017/08/07 10:59 AM CDT","2017-08-07","2017-08-07 08:59:00 -0700","Central Time (US & Canada)",2,NA,NA,"false","","",NA,42111,"2017-08-08 22:06:20 -0700","2017-08-09 09:09:39 -0700","research","CC-BY-NC",NA,"false"
"Glutophrissa drusilla","2017-08-07 13:48:28 -0500","","San Pedro Garza García, Cumbres de Monterrey, MX-NL, MX",25.6177321498,-100.3600248021,"","Florida White","https://www.inaturalist.org/observations/7409199","https://static.inaturalist.org/photos/9623496/medium.jpg?1502215906","michaelretter",7409199,"","Insecta",81732,"false",1,0,"Mon Aug 07 2017 13:48:28 GMT-0500 (CDT)","2017-08-07","2017-08-07 11:48:28 -0700","Central Time (US & Canada)",264,NA,NA,"false","","",NA,75714,"2017-08-08 11:11:43 -0700","2017-08-08 11:40:08 -0700","research","",3,"false"
"Glutophrissa drusilla","2017-08-03 13:59:00 -0500","","Bahias de Huatulco, Oax., México",15.7728318255,-96.1085655485,"","Florida White","http://conabio.inaturalist.org/observations/7400283","https://static.inaturalist.org/photos/9607866/medium.jpeg?1502150559","momoto-erick",7400283,"Mariposa alma","Insecta",81732,"false",1,0,"2017/08/03 1:59 PM CDT","2017-08-03","2017-08-03 11:59:00 -0700","Central Time (US & Canada)",1896,NA,NA,"false","","",NA,26699,"2017-08-07 17:46:11 -0700","2017-08-08 16:26:05 -0700","research","CC-BY-NC",NA,"false"
"Glutophrissa drusilla tenuis","2017-07-26 09:03:00 -0500","","Santa María Tonameca, Oax., México",15.6701680524,-96.577205658,"","","http://conabio.inaturalist.org/observations/7222880","https://static.inaturalist.org/photos/9322750/medium.jpeg?1501102935","blakesito",7222880,"Mariposa alma","Insecta",312439,"false",1,0,"2017/07/26 9:03 AM CDT","2017-07-26","2017-07-26 07:03:00 -0700","Central Time (US & Canada)",8,NA,NA,"false","","",NA,67003,"2017-07-26 14:29:00 -0700","2017-08-09 12:55:55 -0700","research","CC-BY-NC",NA,"false"
