"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Cyanophrys herodotus","2007-11-01 16:16:00 -0500","","El Cielo, Tamps., Mexico",23.2759889,-99.2761274,NA,"Tropical Greenstreak","https://www.inaturalist.org/observations/8236208","https://static.inaturalist.org/photos/10921095/medium.jpg?1507043053","jimsinclair",8236208,"Tropical Greenstreak","Insecta",148495,"false",1,0,"2007/11/01 4:16 PM CDT","2007-11-01","2007-11-01 14:16:00 -0700","Central Time (US & Canada)",1993,NA,NA,"false","","",NA,645099,"2017-10-03 08:53:40 -0700","2017-10-03 10:06:14 -0700","research","CC-BY-NC",NA,"false"
"Cyanophrys herodotus","2017-07-06 10:31:00 -0700","How cool is it I saw a Green Hairstreak my first day in Costa Rica?","Provincia de Alajuela, San Antonio, Costa Rica",9.9942734628,-84.2413079739,NA,"Tropical Greenstreak","https://www.inaturalist.org/observations/6945604","https://static.inaturalist.org/photos/8877028/medium.jpeg?1499370524","robberfly",6945604,"Tropical Greenstreak","Insecta",148495,"false",2,0,"2017/07/06 10:31 AM PDT","2017-07-06","2017-07-06 10:31:00 -0700","Pacific Time (US & Canada)",31,NA,NA,"false","","",NA,13979,"2017-07-06 12:54:28 -0700","2017-07-06 13:13:14 -0700","research","CC-BY-NC",NA,"false"
"Cyanophrys herodotus","2017-06-14 11:56:00 -0600","Selva Baja Caducifolia en Paco´s Reserva de Flora y Fauna Silvestre","Mazatlán, Sin., México",23.3015069748,-106.4401388168,NA,"Tropical Greenstreak","https://www.inaturalist.org/observations/6890905","https://static.inaturalist.org/photos/8788375/medium.jpg?1499018242","pacof",6890905,"Cyanophrys herodotus","Insecta",148495,"false",1,0,"2017/06/14 11:56 AM -0600","2017-06-14","2017-06-14 10:56:00 -0700","Central America",648,NA,NA,"false","","",NA,42186,"2017-07-02 13:01:42 -0700","2017-07-11 20:05:09 -0700","research","CC-BY-NC",NA,"false"
"Cyanophrys herodotus","2017-06-11 11:21:00 -1000","","Mazatlán, MX-SI, MX",23.299,-106.443,NA,"Tropical Greenstreak","http://conabio.inaturalist.org/observations/6599043","https://static.inaturalist.org/photos/8377921/medium.jpeg?1497228495","francisco3",6599043,"Cyanophrys herodotus","Insecta",148495,"false",1,0,"2017/06/11 11:21 AM HST","2017-06-11","2017-06-11 14:21:00 -0700","Hawaii",NA,NA,NA,"false","","",NA,21626,"2017-06-11 17:50:31 -0700","2017-07-11 09:54:03 -0700","research","CC-BY",NA,"false"
"Cyanophrys herodotus","2016-12-11 11:39:00 -1000","                               ","Mazatlán, MX-SI, MX",23.299,-106.443,NA,"Tropical Greenstreak","http://conabio.inaturalist.org/observations/4758362","https://static.inaturalist.org/photos/5789618/medium.jpeg?1481494730","francisco3",4758362,"Cyanophrys herodotus","Insecta",148495,"false",2,0,"2016/12/11 11:39 AM HST","2016-12-11","2016-12-11 14:39:00 -0700","Hawaii",NA,NA,NA,"false","","",NA,21626,"2016-12-11 15:19:38 -0700","2017-08-17 19:13:53 -0700","research","CC-BY",NA,"false"
"Cyanophrys herodotus","2016-05-09 12:45:00 +0500","","Carlos Uno Bosques del Rey Monterrey, N.L.",25.6392087,-100.2073193,NA,"Tropical Greenstreak","http://www.inaturalist.org/observations/4594768","https://static.inaturalist.org/photos/5552879/medium.jpeg?1479490909","aztekium",4594768,"Tropical Greenstreak","Insecta",148495,"false",1,0,"2016-05-09 12:45:00 p.m. GMT-05:00","2016-05-09","2016-05-09 00:45:00 -0700","Ekaterinburg",22,NA,NA,"false","","",NA,16744,"2016-11-18 10:41:37 -0700","2016-12-11 16:12:22 -0700","research","CC-BY-NC",2,"false"
"Cyanophrys herodotus","2016-04-29 13:59:29 +0500","","Monterrey N.L.",25.537443161,-100.275177002,NA,"Tropical Greenstreak","http://www.inaturalist.org/observations/4594336","https://static.inaturalist.org/photos/5552402/medium.jpeg?1479485379","aztekium",4594336,"Tropical Greenstreak","Insecta",148495,"false",3,0,"2016-04-29 1:59:29 p.m. GMT-05:00","2016-04-29","2016-04-29 01:59:29 -0700","Ekaterinburg",NA,NA,NA,"false","gps","gps",NA,16744,"2016-11-18 09:09:25 -0700","2016-12-11 16:13:04 -0700","research","CC-BY-NC",2,"false"
"Cyanophrys herodotus","2016-09-20 11:35:00 -0600","Selva Baja Caducifolia en Paco´s Reserva de Flora y Fauna Silvestre","Mazatlán, Sin., México",23.299378548,-106.4434432983,NA,"Tropical Greenstreak","http://conabio.inaturalist.org/observations/4174660","https://static.inaturalist.org/photos/4971405/medium.jpg?1474565845","pacof",4174660,"Tropical Greenstreak","Insecta",148495,"false",2,0,"2016/09/20 11:35 AM -0600","2016-09-20","2016-09-20 10:35:00 -0700","Central America",61,NA,NA,"false","","",NA,42186,"2016-09-22 10:55:59 -0700","2016-12-11 16:14:23 -0700","research","CC-BY-NC",NA,"false"
"Cyanophrys herodotus","2008-11-08 17:20:00 -0600","","2800 S Bentsen Palm Dr, Mission, TX 78572, USA",26.185498,-98.3794443,NA,"Tropical Greenstreak","http://www.inaturalist.org/observations/3901974","https://static.inaturalist.org/photos/4585571/medium.jpeg?1471394302","johnyochum",3901974,"Cyanophrys herodotus","Insecta",148495,"false",1,0,"2008/11/08 5:20 PM CST","2008-11-08","2008-11-08 16:20:00 -0700","Central Time (US & Canada)",33,NA,NA,"false","","",NA,12103,"2016-08-16 17:38:41 -0700","2017-09-26 06:18:57 -0700","research","CC-BY",NA,"false"
"Cyanophrys herodotus","2016-07-04 16:27:00 -0500","Tropical Greenstreak
Cyanophrys herodotus (Fabricius, 1793)
Familia: Lycaenidae
Huejutla de Reyes, Hidalgo, México ","Huejutla de Reyes, Hgo., México",21.1582538357,-98.3808088303,NA,"Tropical Greenstreak","http://conabio.inaturalist.org/observations/3790474","https://static.inaturalist.org/photos/4425561/medium.jpg?1470173266","eduardo_axel",3790474,"Cyanophrys herodotus","Insecta",148495,"false",1,0,"2016/07/04 4:27 PM -0500","2016-07-04","2016-07-04 14:27:00 -0700","Bogota",73,NA,NA,"false","","",NA,23069,"2016-08-02 14:28:58 -0700","2016-08-02 15:04:12 -0700","research","CC-BY-NC",NA,"false"
